State,Sum of CasesK,Sum of Pop65k,Sum of WeightedPrevNum,stateprevalence
 Alabama,103.4,874.3,103.6409,11.85415761
 Alaska,8.3,95.7,8.4126,8.790595611
 Arizona,151.6,1374,151.5281,11.028246
 Arkansas,60.2,536.3,60.3449,11.25207906
 California,719.2,5976.2,719.9645,12.04719554
 Colorado,90.6,876.3,90.6529,10.34496177
 Connecticut,76.9,646,76.903,11.90448916
 Delaware,22.3,197.7,22.3901,11.32529084
 Florida,579.9,4638,579.407,12.49260457
 Georgia,188.3,1574.9,188.3486,11.9594006
 Hawaii,31.1,275,31.2336,11.35767273
 Idaho,29.8,306.2,29.9065,9.766982364
 Illinois,250.4,2089.8,250.8772,12.00484257
 Indiana,121.5,1115.2,121.1927,10.86735115
 Iowa,62.2,566,62.1588,10.98212014
 Kansas,54.8,488.3,54.5062,11.16244112
 Kentucky,80.7,770.7,80.4428,10.43762813
 Louisiana,94.8,763.5,94.6233,12.39335953
 Maine,29.7,293.9,29.6123,10.07563797
 Maryland,127.2,987.5,127.258,12.88688608
 Massachusetts,135.2,1198.4,135.1871,11.28063251
 Michigan,202.7,1812.4,203.034,11.20249393
 Minnesota,102,948.7,101.8903,10.73999157
 Mississippi,62.4,499.9,62.5435,12.51120224
 Missouri,122.9,1089.6,122.1386,11.20948972
 Montana,20.9,213.4,20.9615,9.822633552
 Nebraska,34.9,319.3,35.0847,10.98800501
 Nevada,54.8,519.4,54.8375,10.55785522
 New Hampshire,26.5,263.2,26.4911,10.0650076
 New Jersey,185.4,1510,185.1747,12.26322517
 New Mexico,45.6,390.1,46.0443,11.80320431
 New York,426,3369.9,426.712,12.66245289
 North Carolina,210.8,1814.1,210.4997,11.60353343
 North Dakota,13.9,123.1,13.7202,11.14557271
 Ohio,236.5,2097.8,236.208,11.25979598
 Oklahoma,70.4,653.6,70.5847,10.79937271
 Oregon,79.6,789.6,79.2573,10.03765198
 Pennsylvania,282.2,2447.4,282.1464,11.52841383
 Rhode Island,21.9,192.6,21.982,11.4132918
 South Carolina,112.6,976.4,112.41,11.51269971
 South Dakota,16.7,157.5,16.4797,10.46330159
 Tennessee,129.1,1180.8,129.219,10.9433435
 Texas,459.4,3873,459.3251,11.85967209
 Utah,38.2,381.6,38.2876,10.03343816
 Vermont,12.8,128.5,12.7822,9.947237354
 Virginia,163.4,1401.1,163.924,11.69966455
 Washington,126.5,1248,126.8413,10.16356571
 West Virginia,38.1,373.1,38.0262,10.19195926
 Wisconsin,111.1,1047.1,110.8625,10.58757521
 Wyoming,10.4,104,10.3245,9.927403846
Grand Total,6435.8,55569.1,6436.3837,11.58266681
